CAN10001,Newfoundland and La,Agricultural Region 1 - CAR | Division No. 1
CAN10002,Newfoundland and La,Agricultural Region 1 - CAR | Division No. 2
CAN10004,Newfoundland and La,Agricultural Region 3 - CAR | Division No. 4
CAN10006,Newfoundland and La,Agricultural Region 2 - CAR | Division No. 6
CAN10007,Newfoundland and La,Agricultural Region 2 - CAR | Division No. 7
CAN10008,Newfoundland and La,Agricultural Region 2 - CAR | Division No. 8
CAN11001,Prince Edward Islan,Agricultural Region 1 - CAR | Kings - CD
CAN11002,Prince Edward Islan,Agricultural Region 2 - CAR | Queens - CD
CAN11003,Prince Edward Islan,Agricultural Region 3 - CAR | Prince - CD
CAN12001,Nova Scotia,Agricultural Region 1 - CAR | Shelburne - CD
CAN12002,Nova Scotia,Agricultural Region 1 - CAR | Yarmouth - CD
CAN12003,Nova Scotia,Agricultural Region 1 - CAR | Digby - CD
CAN12004,Nova Scotia,Agricultural Region 1 - CAR | Queens - CD
CAN12005,Nova Scotia,Agricultural Region 2 - CAR | Annapolis - CD
CAN12006,Nova Scotia,Agricultural Region 1 - CAR | Lunenburg - CD
CAN12007,Nova Scotia,Agricultural Region 2 - CAR | Kings - CD
CAN12008,Nova Scotia,Agricultural Region 2 - CAR | Hants - CD
CAN12009,Nova Scotia,Agricultural Region 3 - CAR | Halifax - CD
CAN12010,Nova Scotia,Agricultural Region 3 - CAR | Colchester - CD
CAN12011,Nova Scotia,Agricultural Region 3 - CAR | Cumberland - CD
CAN12012,Nova Scotia,Agricultural Region 4 - CAR | Pictou - CD
CAN12013,Nova Scotia,Agricultural Region 4 - CAR | Guysborough - CD
CAN12014,Nova Scotia,Agricultural Region 4 - CAR | Antigonish - CD
CAN12015,Nova Scotia,Agricultural Region 5 - CAR | Inverness - CD
CAN12016,Nova Scotia,Agricultural Region 5 - CAR | Richmond - CD
CAN12017,Nova Scotia,Agricultural Region 5 - CAR | Cape Breton - CD
CAN12018,Nova Scotia,Agricultural Region 5 - CAR | Victoria - CD
CAN13002,New Brunswick,Agricultural Region 2 - CAR | Charlotte - CD
CAN13003,New Brunswick,Agricultural Region 2 - CAR | Queens - CD
CAN13004,New Brunswick,Agricultural Region 2 - CAR | Kings - CD
CAN13005,New Brunswick,,Saint John - CD
CAN13006,New Brunswick,Agricultural Region 3 - CAR | Albert - CD
CAN13007,New Brunswick,Agricultural Region 3 - CAR | Westmorland - CD
CAN13008,New Brunswick,Agricultural Region 3 - CAR | Kent - CD
CAN13009,New Brunswick,Agricultural Region 4 - CAR | Northumberland - CD
CAN13010,New Brunswick,Agricultural Region 1 - CAR | York - CD
CAN13011,New Brunswick,Agricultural Region 1 - CAR | Carleton - CD
CAN13012,New Brunswick,Agricultural Region 1 - CAR | Victoria - CD
CAN13013,New Brunswick,Agricultural Region 1 - CAR | Madawaska - CD
CAN13014,New Brunswick,Agricultural Region 4 - CAR | Restigouche - CD
CAN13015,New Brunswick,Agricultural Region 4 - CAR | Gloucester - CD
CAN24001,Quebec,Gaspésie--Îles-de-la-Madeleine | Les Îles-de-la-Madeleine
CAN24002,Quebec,Gaspésie--Îles-de-la-Madeleine | Le Rocher-Percé
CAN24003,Quebec,Gaspésie--Îles-de-la-Madeleine | La Côte-de-Gaspé
CAN24004,Quebec,Gaspésie--Îles-de-la-Madeleine | La Haute-Gaspésie
CAN24005,Quebec,Gaspésie--Îles-de-la-Madeleine | Bonaventure
CAN24006,Quebec,Gaspésie--Îles-de-la-Madeleine | Avignon
CAN24007,Quebec,Bas-Saint-Laurent | La Matapédia
CAN24008,Quebec,Bas-Saint-Laurent | Matane
CAN24009,Quebec,Bas-Saint-Laurent | La Mitis
CAN24010,Quebec,Bas-Saint-Laurent | Rimouski-Neigette
CAN24011,Quebec,Bas-Saint-Laurent | Les Basques
CAN24012,Quebec,Bas-Saint-Laurent | Rivière-du-Loup
CAN24013,Quebec,Bas-Saint-Laurent | Témiscouata
CAN24014,Quebec,Bas-Saint-Laurent | Kamouraska
CAN24015,Quebec,Québec | Charlevoix-Est
CAN24016,Quebec,Québec | Charlevoix
CAN24017,Quebec,Chaudière-Appalaches | L'Islet
CAN24018,Quebec,Chaudière-Appalaches | Montmagny
CAN24019,Quebec,Chaudière-Appalaches | Bellechasse
CAN24020,Quebec,Québec | L'Île-d'Orléans
CAN24021,Quebec,Québec | La Côte-de-Beaupré
CAN24022,Quebec,Québec | La Jacques-Cartier
CAN24023,Quebec,Québec | Communauté-Urbaine-de-Québec
CAN24024,Quebec,Chaudière-Appalaches | Desjardins
CAN24025,Quebec,Chaudière-Appalaches | Les Chutes-de-la-Chaudière
CAN24026,Quebec,Chaudière-Appalaches | La Nouvelle-Beauce
CAN24027,Quebec,Chaudière-Appalaches | Robert-Cliche
CAN24028,Quebec,Chaudière-Appalaches | Les Etchemins
CAN24029,Quebec,Chaudière-Appalaches | Beauce-Sartigan
CAN24030,Quebec,Estrie | Le Granit
CAN24031,Quebec,Chaudière-Appalaches | L'Amiante
CAN24032,Quebec,Centre-du-Québec | L'Érable
CAN24033,Quebec,Chaudière-Appalaches | Lotbinière
CAN24034,Quebec,Québec | Portneuf
CAN24035,Quebec,Mauricie | Mékinac
CAN24036,Quebec,Mauricie | Le Centre-de-la-Mauricie
CAN24037,Quebec,Mauricie | Francheville
CAN24038,Quebec,Centre-du-Québec | Bécancour
CAN24039,Quebec,Centre-du-Québec | Arthabaska
CAN24040,Quebec,Estrie | Asbestos
CAN24041,Quebec,Estrie | Le Haut-Saint-François
CAN24042,Quebec,Estrie | Le Val-Saint-François
CAN24043,Quebec,Estrie | La Région-Sherbrookoise
CAN24044,Quebec,Estrie | Coaticook
CAN24045,Quebec,Estrie | Memphrémagog
CAN24046,Quebec,Montérégie | Brome-Missisquoi
CAN24047,Quebec,Montérégie | La Haute-Yamaska
CAN24048,Quebec,Montérégie | Acton
CAN24049,Quebec,Centre-du-Québec | Drummond
CAN24050,Quebec,Centre-du-Québec | Nicolet-Yamaska
CAN24051,Quebec,Mauricie | Maskinongé
CAN24052,Quebec,Lanaudière | D'Autray
CAN24053,Quebec,Montérégie | Le Bas-Richelieu
CAN24054,Quebec,Montérégie | Les Maskoutains
CAN24055,Quebec,Montérégie | Rouville
CAN24056,Quebec,Montérégie | Le Haut-Richelieu
CAN24057,Quebec,Montérégie | La Vallée-du-Richelieu
CAN24058,Quebec,Montérégie | Champlain
CAN24059,Quebec,Montérégie | Lajemmerais
CAN24060,Quebec,Lanaudière | L'Assomption
CAN24061,Quebec,Lanaudière | Joliette
CAN24062,Quebec,Lanaudière | Matawinie
CAN24063,Quebec,Lanaudière | Montcalm
CAN24064,Quebec,Lanaudière | Les Moulins
CAN24065,Quebec,Montréal/Laval | Communauté-Urbaine-de-Montréal
CAN24066,Quebec,Montréal/Laval | Laval
CAN24067,Quebec,Montérégie | Roussillon
CAN24068,Quebec,Montérégie | Les Jardins-de-Napierville
CAN24069,Quebec,Montérégie | Le Haut-Saint-Laurent
CAN24070,Quebec,Montérégie | Beauharnois-Salaberry
CAN24071,Quebec,Montérégie | Vaudreuil-Soulanges
CAN24072,Quebec,Laurentides | Deux-Montagnes
CAN24073,Quebec,Laurentides | Thérèse-De Blainville
CAN24074,Quebec,Laurentides | Mirabel
CAN24075,Quebec,Laurentides | La Rivière-du-Nord
CAN24076,Quebec,Laurentides | Argenteuil
CAN24078,Quebec,Laurentides | Les Laurentides
CAN24079,Quebec,Laurentides | Antoine-Labelle
CAN24080,Quebec,Outaouais | Papineau
CAN24081,Quebec,Outaouais | Communauté-Urbaine-de-l'Outaouais
CAN24082,Quebec,Outaouais | Les Collines-de-l'Outaouais
CAN24083,Quebec,Outaouais | La Vallée-de-la-Gatineau
CAN24084,Quebec,Outaouais | Pontiac
CAN24085,Quebec,Abitibi-Témiscamingue/Nord-du-Québec | Témiscamingue
CAN24086,Quebec,Abitibi-Témiscamingue/Nord-du-Québec | Rouyn-Noranda
CAN24087,Quebec,Abitibi-Témiscamingue/Nord-du-Québec | Abitibi-Ouest
CAN24089,Quebec,Abitibi-Témiscamingue/Nord-du-Québec | Vallée-de-l'Or
CAN24090,Quebec,Mauricie | Le Haut-Saint-Maurice
CAN24091,Quebec,Saguenay--Lac-Saint-Jean/Côte-Nord | Le Domaine-du-Roy
CAN24092,Quebec,Saguenay--Lac-Saint-Jean/Côte-Nord | Maria-Chapdelaine
CAN24093,Quebec,Saguenay--Lac-Saint-Jean/Côte-Nord | Lac-Saint-Jean-Est
CAN24094,Quebec,Saguenay--Lac-Saint-Jean/Côte-Nord | Le Fjord-du-Saguenay
CAN24095,Quebec,Saguenay--Lac-Saint-Jean/Côte-Nord | La Haute-Côte-Nord
CAN24097,Quebec,Saguenay--Lac-Saint-Jean/Côte-Nord | Manicouagan
CAN24098,Quebec,Minganie - Basse-Côte-Nord,
CAN24099,Quebec,Nord-du-Québec,
CAN35001,Ontario,Stormont, Dundas and Glengarry,
CAN35002,Ontario,Prescott and Russell,
CAN35006,Ontario,Ottawa,
CAN35007,Ontario,Leeds and Grenville,
CAN35009,Ontario,Lanark,
CAN35010,Ontario,Frontenac,
CAN35011,Ontario,Lennox and Addington,
CAN35012,Ontario,Hastings
CAN35013,Ontario,Prince Edward
CAN35014,Ontario,Northumberland
CAN35015,Ontario,Peterborough
CAN35016,Ontario,Kawartha Lakes
CAN35018,Ontario,Durham
CAN35019,Ontario,York
CAN35021,Ontario,Peel
CAN35022,Ontario,Dufferin
CAN35023,Ontario,Wellington
CAN35024,Ontario,Halton
CAN35025,Ontario,Hamilton
CAN35026,Ontario,Niagara
CAN35028,Ontario,Haldimand-Norfolk
CAN35029,Ontario,Brant
CAN35030,Ontario,Waterloo
CAN35031,Ontario,Perth
CAN35032,Ontario,Oxford
CAN35034,Ontario,Elgin
CAN35036,Ontario,Chatham-Kent
CAN35037,Ontario,Essex
CAN35038,Ontario,Lambton
CAN35039,Ontario,Middlesex
CAN35040,Ontario,Huron
CAN35041,Ontario,Bruce
CAN35042,Ontario,Grey
CAN35043,Ontario,Simcoe
CAN35044,Ontario,Muskoka
CAN35046,Ontario,Haliburton
CAN35047,Ontario,Renfrew
CAN35048,Ontario,Nipissing
CAN35049,Ontario,Parry Sound
CAN35051,Ontario,Manitoulin
CAN35052,Ontario,Sudbury
CAN35053,Ontario,Greater Sudbury
CAN35054,Ontario,Timiskaming
CAN35056,Ontario,Cochrane
CAN35057,Ontario,Algoma
CAN35058,Ontario,Thunder Bay
CAN35059,Ontario,Rainy River
CAN35060,Ontario,Kenora
CAN46001,Manitoba,Division No. 1
CAN46002,Manitoba,Division No. 2
CAN46003,Manitoba,Division No. 3
CAN46004,Manitoba,Division No. 4
CAN46005,Manitoba,Division No. 5
CAN46006,Manitoba,Division No. 6
CAN46007,Manitoba,Division No. 7
