ITEM_CODE	CROPNAME_monfreda	Cropname_FAO	GROUP
800	agave	Agave Fibres Nes	Fiber
641	alfalfa	alfalfa	Forage
221	almond	"Almonds, with shell"	Treenuts
711	aniseetc	"Anise, badian, fennel, corian."	OtherCrops
515	apple	Apples	Fruit
526	apricot	Apricots	Fruit
226	areca	Arecanuts	OtherCrops
366	artichoke	Artichokes	Vegetables&Melons
367	asparagus	Asparagus	Vegetables&Melons
572	avocado	Avocados	Fruit
203	bambara	Bambara beans	Pulses
486	banana	Bananas	Fruit
44	barley	Barley	Cereals
176	bean	"Beans, dry"	Pulses
414	greenbean	"Beans, green"	Vegetables&Melons
647	beetfor	beetfor	Forage
558	berrynes	Berries Nes	Fruit
552	blueberry	Blueberries	Fruit
216	brazil	"Brazil nuts, with shell"	Treenuts
181	broadbean	"Broad beans, horse beans, dry"	Pulses
89	buckwheat	Buckwheat	Cereals
644	cabbagefor	cabbagefor	Forage
358	cabbage	Cabbages and other brassicas	Vegetables&Melons
101	canaryseed	Canary seed	Cereals
461	carob	Carobs	Fruit
648	carrotfor	carrotfor	Forage
426	carrot	Carrots and turnips	Vegetables&Melons
217	cashew	"Cashew nuts, with shell"	Treenuts
591	cashewapple	Cashewapple	Fruit
125	cassava	Cassava	Roots&Tubers
265	castor	Castor oil seed	Oilcrops
393	cauliflower	Cauliflowers and broccoli	Vegetables&Melons
108	cerealnes	"Cereals, nes"	Cereals
531	cherry	Cherries	Fruit
220	chestnut	Chestnuts	Treenuts
191	chickpea	Chick peas	Pulses
459	chicory	Chicory roots	OtherCrops
689	pimento	"Chillies and peppers, dry"	OtherCrops
401	chilleetc	"Chillies and peppers, green"	Vegetables&Melons
693	cinnamon	Cinnamon (canella)	OtherCrops
512	citrusnes	"Citrus fruit, nes"	Fruit
640	clover	clover	Forage
698	clove	Cloves	OtherCrops
661	cocoa	Cocoa beans	OtherCrops
249	coconut	Coconuts	Oilcrops
656	coffee	"Coffee, green"	OtherCrops
813	coir	Coir	Fiber
195	cowpea	"Cow peas, dry"	Pulses
554	cranberry	Cranberries	Fruit
397	cucumberetc	Cucumbers and gherkins	Vegetables&Melons
550	currant	Currants	Fruit
577	date	Dates	Fruit
399	eggplant	Eggplants (aubergines)	Vegetables&Melons
821	fibrenes	Fibre Crops Nes	Fiber
569	fig	Figs	Fruit
773	flax	Flax fibre and tow	Fiber
94	fonio	Fonio	Cereals
651	fornes	fornes	Forage
619	fruitnes	Fruit Fresh Nes	Fruit
603	tropicalnes	"Fruit, tropical fresh nes"	Fruit
406	garlic	Garlic	Vegetables&Melons
720	ginger	Ginger	OtherCrops
549	gooseberry	Gooseberries	Fruit
507	grapefruitetc	Grapefruit (inc. pomelos)	Fruit
560	grape	Grapes	Fruit
639	grassnes	grassnes	Forage
242	groundnut	"Groundnuts, with shell"	Oilcrops
839	gums	Gums Natural	OtherCrops
225	hazelnut	"Hazelnuts, with shell"	Treenuts
777	hemp	Hemp Tow Waste	Fiber
336	hempseed	Hempseed	Oilcrops
677	hop	Hops	OtherCrops
780	jute	Jute	Fiber
778	kapokfiber	Kapok Fibre	Fiber
311	kapokseed	Kapokseed in Shell	Fiber
263	karite	Karite Nuts (Sheanuts)	Oilcrops
592	kiwi	Kiwi fruit	Fruit
224	kolanut	Kolanuts	OtherCrops
643	legumenes	legumenes	Forage
420	greenbroadbean	"Leguminous vegetables, nes"	Vegetables&Melons
497	lemonlime	Lemons and limes	Fruit
201	lentil	Lentils	Pulses
372	lettuce	Lettuce and chicory	Vegetables&Melons
333	linseed	Linseed	Oilcrops
210	lupin	Lupins	Pulses
56	maize	Maize	Cereals
446	greencorn	"Maize, green"	Vegetables&Melons
636	maizefor	maizefor	Forage
571	mango	"Mangoes, mangosteens, guavas"	Fruit
809	abaca	Manila Fibre (Abaca)	Fiber
671	mate	Maté	OtherCrops
299	melonseed	Melonseed	Oilcrops
79	millet	Millet	Cereals
103	mixedgrain	Mixed grain	Cereals
645	mixedgrass	mixedgrass	Forage
449	mushroom	Mushrooms and truffles	Vegetables&Melons
292	mustard	Mustard seed	Oilcrops
836	rubber	Natural rubber	OtherCrops
702	nutmeg	"Nutmeg, mace and cardamoms"	OtherCrops
234	nutnes	"Nuts, nes"	Treenuts
75	oats	Oats	Cereals
254	oilpalm	Oil palm fruit	Oilcrops
642	oilseedfor	oilseedfor	Forage
339	oilseednes	"Oilseeds, Nes"	Oilcrops
430	okra	Okra	Vegetables&Melons
260	olive	Olives	Oilcrops
402	greenonion	"Onions (inc. shallots), green"	Vegetables&Melons
403	onion	"Onions, dry"	Vegetables&Melons
490	orange	Oranges	Fruit
782	jutelikefiber	Other Bastfibres	Fiber
568	melonetc	Other melons (inc.cantaloupes)	Vegetables&Melons
600	papaya	Papayas	Fruit
534	peachetc	Peaches and nectarines	Fruit
521	pear	Pears	Fruit
187	pea	"Peas, dry"	Pulses
417	greenpea	"Peas, green"	Vegetables&Melons
687	pepper	Pepper (Piper spp.)	OtherCrops
748	peppermint	Peppermint	OtherCrops
587	persimmon	Persimmons	Fruit
197	pigeonpea	Pigeon peas	Pulses
574	pineapple	Pineapples	Fruit
223	pistachio	Pistachios	Treenuts
489	plantain	Plantains	Fruit
536	plum	Plums and sloes	Fruit
68	popcorn	Popcorn	Cereals
296	poppy	Poppy seed	Oilcrops
116	potato	Potatoes	Roots&Tubers
211	pulsenes	"Pulses, nes"	Pulses
394	pumpkinetc	"Pumpkins, squash and gourds"	Vegetables&Melons
754	pyrethrum	"Pyrethrum,Dried"	OtherCrops
523	quince	Quinces	Fruit
92	quinoa	Quinoa	Cereals
788	ramie	Ramie	Fiber
270	rapeseed	Rapeseed	Oilcrops
547	rasberry	Raspberries	Fruit
27	rice	"Rice, paddy"	Cereals
149	rootnes	"Roots and Tubers, nes"	Roots&Tubers
71	rye	Rye	Cereals
638	ryefor	ryefor	Forage
280	safflower	Safflower seed	Oilcrops
328	cotton	Seed cotton	Fiber
289	sesame	Sesame seed	Oilcrops
789	sisal	Sisal	Fiber
83	sorghum	Sorghum	Cereals
637	sorghumfor	sorghumfor	Forage
530	sourcherry	Sour cherries	Fruit
236	soybean	Soybeans	Oilcrops
723	spicenes	"Spices, nes"	OtherCrops
373	spinach	Spinach	Vegetables&Melons
541	stonefruitnes	"Stone fruit, nes"	Fruit
544	strawberry	Strawberries	Fruit
423	stringbean	String beans	Vegetables&Melons
157	sugarbeet	Sugar beet	SugarCrops
156	sugarcane	Sugar cane	SugarCrops
161	sugarnes	"Sugar crops, nes"	SugarCrops
267	sunflower	Sunflower seed	Oilcrops
649	swedefor	swedefor	Forage
122	sweetpotato	Sweet potatoes	Roots&Tubers
495	tangetc	"Tangerines, mandarins, clem."	Fruit
136	taro	Taro (cocoyam)	Roots&Tubers
667	tea	Tea	OtherCrops
826	tobacco	"Tobacco, unmanufactured"	OtherCrops
388	tomato	Tomatoes	Vegetables&Melons
97	triticale	Triticale	Cereals
275	tung	Tung Nuts	Oilcrops
646	turnipfor	turnipfor	Forage
692	vanilla	Vanilla	OtherCrops
463	vegetablenes	Vegetables fresh nes	Vegetables&Melons
655	vegfor	vegfor	Forage
205	vetch	Vetches	Pulses
222	walnut	"Walnuts, with shell"	Treenuts
567	watermelon	Watermelons	Vegetables&Melons
15	wheat	Wheat	Cereals
137	yam	Yams	Roots&Tubers
135	yautia	Yautia (cocoyam)	Roots&Tubers
